415,The-Clash,Chris-Isaak,Veruca-Salt
585,Dave-Matthews-Band,Pink-Floyd,The-Cure
264,Styx,The-Sex-Pistols,Kansas
86,Weezer,Radiohead,Nirvana
442,Linkin-Park,Tool,Audioslave
466,Def-Leppard,Creed,Audioslave
78,The-Beatles,The-Police,Weezer
157,Dave-Matthews-Band,The-Beatles,No-Doubt
21,The-Beatles,The-Cure,Pink-Floyd
281,Eminem,Foo-Fighters,Matchbox-Twenty
615,Michael-Jackson,Boyz-II-Men,Sade
